39.898168,116.354284,2009/4/4,13:10:09,4.11,13269,人
39.898157,116.354781,2009/4/4,13:10:04,3.96,13268,人
39.898175,116.355132,2009/4/4,13:09:59,3.79,13267,建筑
39.898212,116.355435,2009/4/4,13:09:34,5.76,13261,人
39.898203,116.355283,2009/4/4,13:09:39,5.51,13262,人
39.898199,116.355284,2009/4/4,13:09:44,5.12,13263,建筑
39.898198,116.355285,2009/4/4,13:09:49,14.8,13264,建筑
39.898198,116.355285,2009/4/4,13:09:52,7.66,13265,人
39.898198,116.355283,2009/4/4,13:09:54,3.58,13266,建筑
39.8982,116.355869,2009/4/4,13:09:29,6.18,13260,人
39.898526,116.35313,2009/4/4,13:10:19,7.82,13271,建筑
39.898886,116.352493,2009/4/4,13:10:24,3.82,13272,建筑
39.899319,116.351946,2009/4/4,13:10:29,304.92,13273,人
39.898301,116.353718,2009/4/4,13:10:14,3.64,13270,人
39.901311,116.350702,2009/4/4,13:10:49,2.25,13277,人
39.901882,116.350684,2009/4/4,13:10:54,6.07,13278,人
39.899792,116.351525,2009/4/4,13:10:34,3.21,13274,建筑
39.900265,116.351156,2009/4/4,13:10:39,2.75,13275,建筑
39.900767,116.350846,2009/4/4,13:10:44,7.6,13276,人
39.898195,116.3564,2009/4/4,13:09:24,3.78,13259,建筑
39.898202,116.356881,2009/4/4,13:09:19,8.4,13258,建筑
39.898266,116.357321,2009/4/4,13:09:14,4.11,13257,人
39.898299,116.357751,2009/4/4,13:09:09,11.6,13256,建筑
39.898309,116.358239,2009/4/4,13:09:04,10.7,13255,建筑
39.898305,116.358686,2009/4/4,13:08:59,7.07,13254,人
39.8983,116.359075,2009/4/4,13:08:54,9.22,13253,人
39.898317,116.359412,2009/4/4,13:08:49,2.88,13252,人
39.898356,116.359918,2009/4/4,13:08:39,7.32,13250,建筑
39.898353,116.359711,2009/4/4,13:08:44,11.8,13251,建筑
39.898322,116.360186,2009/4/4,13:08:29,15.1,13248,建筑
39.898347,116.360023,2009/4/4,13:08:34,11.5,13249,人
39.898309,116.360478,2009/4/4,13:08:24,8.81,13247,建筑
39.898308,116.360818,2009/4/4,13:08:19,10.8,13246,人
39.898298,116.361237,2009/4/4,13:08:14,2.54,13245,人
39.898314,116.3617,2009/4/4,13:08:09,8.37,13244,人
39.898353,116.362175,2009/4/4,13:08:04,5.35,13243,建筑
39.898377,116.362658,2009/4/4,13:07:59,8.9,13242,建筑
39.898405,116.363151,2009/4/4,13:07:54,11.5,13241,人
39.898412,116.363642,2009/4/4,13:07:49,8.79,13240,建筑
39.898423,116.364144,2009/4/4,13:07:44,11.2,13239,建筑
39.898449,116.364652,2009/4/4,13:07:39,3.38,13238,人
39.898476,116.365145,2009/4/4,13:07:34,2.77,13237,人
39.898497,116.365639,2009/4/4,13:07:29,2.53,13236,人
39.898433,116.366176,2009/4/4,13:07:24,4.17,13235,建筑
39.89844,116.3667,2009/4/4,13:07:19,5.12,13234,建筑
39.89845,116.367202,2009/4/4,13:07:14,8.4,13233,建筑
39.898469,116.367689,2009/4/4,13:07:09,1.9,13232,建筑
39.898492,116.368127,2009/4/4,13:07:04,2.94,13231,人
39.898519,116.36851,2009/4/4,13:06:59,6.02,13230,建筑
39.898535,116.368826,2009/4/4,13:06:54,7.88,13229,建筑
39.898546,116.36908,2009/4/4,13:06:49,2.92,13228,人
39.898559,116.369349,2009/4/4,13:06:44,2.36,13227,人
39.898573,116.369543,2009/4/4,13:06:39,5.37,13226,人
39.898585,116.369758,2009/4/4,13:06:29,120.266,13224,建筑
39.898585,116.369606,2009/4/4,13:06:34,2.18,13225,建筑
39.898576,116.370252,2009/4/4,13:05:54,7.82,13215,人
39.898576,116.370252,2009/4/4,13:05:57,3.82,13216,建筑
39.898574,116.370244,2009/4/4,13:05:59,304.92,13217,建筑
39.898577,116.370187,2009/4/4,13:06:04,3.21,13218,人
39.898569,116.370193,2009/4/4,13:06:09,2.75,13219,人
39.898569,116.370191,2009/4/4,13:06:14,7.6,13220,人
39.898569,116.370191,2009/4/4,13:06:17,2.25,13221,建筑
39.898568,116.37019,2009/4/4,13:06:19,6.07,13222,建筑
39.898573,116.370015,2009/4/4,13:06:24,12.51,13223,人
39.898595,116.370329,2009/4/4,13:05:49,3.64,13214,建筑
39.898609,116.370633,2009/4/4,13:05:44,4.11,13213,建筑
39.898631,116.370993,2009/4/4,13:05:39,3.96,13212,人
39.898652,116.371451,2009/4/4,13:05:34,3.79,13211,人
39.898669,116.371986,2009/4/4,13:05:29,3.58,13210,人
39.898696,116.372554,2009/4/4,13:05:24,7.66,13209,建筑
39.898731,116.373146,2009/4/4,13:05:19,14.8,13208,建筑
39.898755,116.373797,2009/4/4,13:05:14,5.12,13207,人
